Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Beatrice Mompremier (15216669),Beatrice Mompremier,15216669,F/UTIL,3600,LA@CON 08/28/2020 08:00PM ET,CON,5.06
PG/SG,Tierra Ruffin-Pratt (15216671),Tierra Ruffin-Pratt,15216671,G/UTIL,3600,LA@CON 08/28/2020 08:00PM ET,LA,9.1
SF/PF,Brittany Brewer (15216679),Brittany Brewer,15216679,F/UTIL,3500,MIN@ATL 08/28/2020 07:00PM ET,ATL,5.81
SF/PF,Theresa Plaisance (15216675),Theresa Plaisance,15216675,F/UTIL,3500,LA@CON 08/28/2020 08:00PM ET,CON,5.28
SF/PF,Kalani Brown (15216677),Kalani Brown,15216677,F/UTIL,3400,MIN@ATL 08/28/2020 07:00PM ET,ATL,5.5
SF/PF,Kaleena Mosqueda-Lewis (15216673),Kaleena Mosqueda-Lewis,15216673,F/UTIL,3400,LA@CON 08/28/2020 08:00PM ET,CON,6.10
PG/SG,Shey Peddy (15216681),Shey Peddy,15216681,G/UTIL,3300,WAS@PHO 08/28/2020 10:00PM ET,PHO,8.14
PG/SG,Jacki Gemelos (15216683),Jacki Gemelos,15216683,G/UTIL,3200,WAS@PHO 08/28/2020 10:00PM ET,WAS,3.84
SF/PF,Jaylyn Agnew (15216685),Jaylyn Agnew,15216685,F/UTIL,3100,MIN@ATL 08/28/2020 07:00PM ET,ATL,2.48
SF/PF,Reshanda Gray (15216689),Reshanda Gray,15216689,F/UTIL,3000,LA@CON 08/28/2020 08:00PM ET,LA,6.86
SF/PF,Elena Delle Donne (15216687),Elena Delle Donne,15216687,F/UTIL,3000,WAS@PHO 08/28/2020 10:00PM ET,WAS,0
SF/PF,Aerial Powers (15216691),Aerial Powers,15216691,F/UTIL,3000,WAS@PHO 08/28/2020 10:00PM ET,WAS,28.96
SF/PF,Tina Charles (15216693),Tina Charles,15216693,F/UTIL,3000,WAS@PHO 08/28/2020 10:00PM ET,WAS,0
SF/PF,Jessica Breland (15216695),Jessica Breland,15216695,F/UTIL,3000,WAS@PHO 08/28/2020 10:00PM ET,PHO,0
